文件,词,引语(±40字)
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,TOSA,·工温应用·OTDR·内置DML激光器·4G/5G·同轴封装·TDLAS气体传感TOSA·内置半导体制冷器控温·激光雷达·符合XMDMSA标准·高功率输出13/230河
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,TOSA,·窄发散角·车载激光雷达源芯片·快脉冲响应激光雷达种·宽温工作·车载激光雷达子源TOSA·高震动状态下高稳定性·机载激光雷达器件·内置DML激光器测风激光雷·14PIN
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,TOSA,"136,222.03批量出货，项目完成。实现产业化国内先进5G、光计算、激光雷达TOSA器件领域高功率DFB激光器应用于数据中心、硅光2和高速EML激光器23,000,"
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,TIA,"m/1577nm列产PON·高功率输出品·符合GB,Telcordia,IEC,TIA/EIA标准·数据中心网络单双芯光纤·极大提高系统传输性能和布线质·局域网和广域"
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,TIA,"FC,ST,CS,SN等)·监控系统光纤·符合GB,Telcordia,IEC,TIA/EIA·医疗设备连接标准·航空航天跳线·提高系统传输性能和布线质量·科研领域·"
300303__em_聚飞光电_em__2025_2025年年度报告.pdf,隔离器,司指聚飞（香港）发展有限公司Tier1供应商指车厂一级供应商光电耦合器，亦称光电隔离器，简称“光耦”，是以光为媒介，传输电信号光耦指的一种「电-光-电」转换器件，由发
688143__em_长盈通_em__2025_2025年年度报告.pdf,AWG,图产品简介和应用领域30/328武汉长盈通光电技术股份有限公司2025年年度报告AWG器件：CWDM及LANWDMAWG器件具备小尺寸、可波分复用靠性高、低损耗和低成
688143__em_长盈通_em__2025_2025年年度报告.pdf,AWG,汉长盈通光电技术股份有限公司2025年年度报告AWG器件：CWDM及LANWDMAWG器件具备小尺寸、可波分复用靠性高、低损耗和低成本特征，满足各类高速光模光器件块封
688143__em_长盈通_em__2025_2025年年度报告.pdf,光纤阵列,模块、数据通信（数据中心、云计算）。将多根光纤按照特定方式排列集成，从而实现多通光纤阵列道传输。具备高精度、耐高低温、稳定性和可靠性器件高、成本低等特点。主要应用于数据
688143__em_长盈通_em__2025_2025年年度报告.pdf,光纤阵列,25年公司以发行股份及支付现金方式并购生一升，快速构建起光模块用无源内连光器件和光纤阵列器件的研发、生产、销售能力，进而有力推动公司通信业务实现显著发展。相关产品广泛应
300903__em_科翔股份_em__2025_2025年年度报告.pdf,光模块PCB,调制的传输，差分阻抗QSFP-DD/OSFP封装100Ω±1%，插入损耗400G光模块PCB开<0.5dB/inch基于传输速率实现56Gbaud信号稳发，目标实现（28G
688172__em_燕东微_em__2025_2025年年度报告.pdf,隔离器,功攻克SOI-CMOS等特色工艺平台关键技术，实现54ACS、模拟开关系列、电感隔离器等核心器件自主可控。报告期内，公司综合竞争力持续提升。17/284北京燕东微电子
688172__em_燕东微_em__2025_2025年年度报告.pdf,隔离器,成功攻克SOI-CMOS特色工艺平台关键技术，实现54ACS、模拟开关系列、电感隔离器等核心器件自主可控。同时，在重点客户拓展方面取得突破，通过深化与核心院所的协同、
688172__em_燕东微_em__2025_2025年年度报告.pdf,隔离器,应速度与转化效能，同时突破关键核心技术，加速国产替代进程，实现模拟开关系列、电感隔离器等核心器件的自主研发，填补国内空白。持续加强知识产权管理，完善专利攻防体系。围绕
001267__em_汇绿生态_em__2025_2025年年度报告.pdf,TOSA,模块由光器件、功能电路和光接口等构成，其中光器件是光模块的关键元件，包括激光器（TOSA）和探测器（ROSA），分别实现光模块在发射端将电信号转换成光信号，以及在接收端
001267__em_汇绿生态_em__2025_2025年年度报告.pdf,ROSA,路和光接口等构成，其中光器件是光模块的关键元件，包括激光器（TOSA）和探测器（ROSA），分别实现光模块在发射端将电信号转换成光信号，以及在接收端将光信号转换成电信号
001267__em_汇绿生态_em__2025_2025年年度报告.pdf,跨阻放大,接收端，采集来的光信号输入模块后由光接收组件内部光探测二极管转换为电流信号，通过跨阻放大器后将此电流信号转换成电压信号，经限幅放大器放大后输出相应信息的电信号。光模块具
300394__em_天孚通信_em__2025_2025年年度报告.pdf,阵列波导光栅,公司2025年年度报告全文AWG指ArrayedWaveguideGrating阵列波导光栅Mux/Demux指波分复用系统中的复用/解复用器件TO指Transmitter
300394__em_天孚通信_em__2025_2025年年度报告.pdf,AWG,器指多芯多通道插拔式线缆连接器8苏州天孚光通信股份有限公司2025年年度报告全文AWG指ArrayedWaveguideGrating阵列波导光栅Mux/Demux指
300394__em_天孚通信_em__2025_2025年年度报告.pdf,AWG,不适用控制管理软件产品名称复用技术传输速率信号传输损耗抗干扰指标封装模式性能指标AWG器件波分复用<2.0dB>30dB隔离器组件<0.3dB>30dBOSA器件10
300394__em_天孚通信_em__2025_2025年年度报告.pdf,陶瓷插芯,者多路并行的光信号传输与接收功能由二氧化锆烧制并经精密加工而成的陶瓷圆柱小管，主陶瓷插芯指要用于光纤对接时的精确定位，是光纤连接器的核心部件，是光纤通信网络中最常用、数
300394__em_天孚通信_em__2025_2025年年度报告.pdf,陶瓷插芯,之一，由氧化锆粉陶瓷套管指体烧制并加工而成，用于光纤之间的活动连接，两端插入带有陶瓷插芯的光纤后，即可形成一条光通路又名法兰盘，是光纤活动连接器对中连接部件，用于两光纤
300394__em_天孚通信_em__2025_2025年年度报告.pdf,隔离器,高速发射芯片和接收芯片封装基础上集成了精密微光学组件，精密机械组件，高速光引擎指隔离器，光波导器件等，实现单路或者多路并行的光信号传输与接收功能由二氧化锆烧制并经精密
300394__em_天孚通信_em__2025_2025年年度报告.pdf,隔离器,A指块LENSARRAY指光纤透镜阵列FA、FAU指FIBERARRAY光纤阵列隔离器指允许单向光通过的光器件线缆连接器指多芯多通道插拔式线缆连接器8苏州天孚光通信股
300394__em_天孚通信_em__2025_2025年年度报告.pdf,隔离器,率信号传输损耗抗干扰指标封装模式性能指标AWG器件波分复用<2.0dB>30dB隔离器组件<0.3dB>30dBOSA器件100G<2.5dB>30dB同轴封装BOX
300394__em_天孚通信_em__2025_2025年年度报告.pdf,FAU,assembly光发射接收次模BOSA指块LENSARRAY指光纤透镜阵列FA、FAU指FIBERARRAY光纤阵列隔离器指允许单向光通过的光器件线缆连接器指多芯多通
300394__em_天孚通信_em__2025_2025年年度报告.pdf,FAU,领先的工艺、专利技术，形成了并行光学设计与制造技术平台、光学模拟/设计技术平台、FAU光线阵列设计与制造技术平台、高速光引擎设计与封装技术平台等多种创新技术平台；并通
300394__em_天孚通信_em__2025_2025年年度报告.pdf,FAU,项全球领先的工艺技术，形成了并行光学设计与制造技术平台、光学模拟/设计技术平台、FAU光线阵列设计与制造技术平台、高速光引擎设计与封装技术平台等创新技术平台，为客户提
300394__em_天孚通信_em__2025_2025年年度报告.pdf,光纤阵列,模BOSA指块LENSARRAY指光纤透镜阵列FA、FAU指FIBERARRAY光纤阵列隔离器指允许单向光通过的光器件线缆连接器指多芯多通道插拔式线缆连接器8苏州天孚光
300394__em_天孚通信_em__2025_2025年年度报告.pdf,TOSA,块（Transmitter光收发接口组件指OpticalSubassembly;TOSA）与光接收次模块（ReceiverOpticalSubassembly;ROSA
300394__em_天孚通信_em__2025_2025年年度报告.pdf,TOSA,，是光收发模块的重要组成部分OSA指OpticalSubassembly光次模块TOSA指TransmitterOpticalSubassembly光发射次模块ROSA
300394__em_天孚通信_em__2025_2025年年度报告.pdf,ROSA,TOSA）与光接收次模块（ReceiverOpticalSubassembly;ROSA），是光收发模块的重要组成部分OSA指OpticalSubassembly光次模
300394__em_天孚通信_em__2025_2025年年度报告.pdf,ROSA,TOSA指TransmitterOpticalSubassembly光发射次模块ROSA指ReceiverOpticalSubassembly光接收次模块Bi-Dire
300394__em_天孚通信_em__2025_2025年年度报告.pdf,BOSA,块Bi-DirectionalOpticalSubassembly光发射接收次模BOSA指块LENSARRAY指光纤透镜阵列FA、FAU指FIBERARRAY光纤阵列隔
300394__em_天孚通信_em__2025_2025年年度报告.pdf,BOSA,式性能指标AWG器件波分复用<2.0dB>30dB隔离器组件<0.3dB>30dBOSA器件100G<2.5dB>30dB同轴封装BOX器件1.6T<2.5dB>30d
300394__em_天孚通信_em__2025_2025年年度报告.pdf,TIA,"美国）指Auxora,Inc.天孚之星指苏州天孚之星科技有限公司新加坡天孚投资指TIANFUINTERNATIONALINVESTMENTPTE.LTD泰国天孚指TF"
300394__em_天孚通信_em__2025_2025年年度报告.pdf,TIA,FC株式会社董事否日苏州天孚之星科2022年03月08邹支农董事长否技有限公司日TIANFUINTERNATIONAL2022年06月29邹支农董事否INVESTME
300394__em_天孚通信_em__2025_2025年年度报告.pdf,TIA,株式会社监事否日苏州天孚之星科2022年03月08欧洋董事、总经理否技有限公司日TIANFUINTERNATIONAL2022年06月29欧洋董事否INVESTMEN
002222__em_福晶科技_em__2025_2025年年度报告.pdf,光隔离器,位延迟及光路调制等。磁光晶体基于法拉第效应，在外加磁场作用下实现光偏振旋转，用于光隔离器、光环行器等器件，抑制反向杂散光对激光器系统的损伤。声光晶体利用声波在晶体内形成
002222__em_福晶科技_em__2025_2025年年度报告.pdf,光隔离器,同合作模式。该方案涵盖脉冲选择用声光调制器、再生放大用普克尔盒、配套驱动器、各级光隔离器、用于再生放大和行波放大的超快激光晶体，以及透射式脉冲压缩光栅、飞秒激光镜片等光
002222__em_福晶科技_em__2025_2025年年度报告.pdf,光隔离器,光纤激光器的主要结构包含泵浦源、增益光纤、调制器(如声光调制器AOM)、谐振腔和光隔离器。脉冲光纤激光器在精细打标、精细切割、激光打孔、激光划线、激光清洗和焊前预处理等
002222__em_福晶科技_em__2025_2025年年度报告.pdf,隔离器,延迟及光路调制等。磁光晶体基于法拉第效应，在外加磁场作用下实现光偏振旋转，用于光隔离器、光环行器等器件，抑制反向杂散光对激光器系统的损伤。声光晶体利用声波在晶体内形成
002222__em_福晶科技_em__2025_2025年年度报告.pdf,隔离器,合作模式。该方案涵盖脉冲选择用声光调制器、再生放大用普克尔盒、配套驱动器、各级光隔离器、用于再生放大和行波放大的超快激光晶体，以及透射式脉冲压缩光栅、飞秒激光镜片等光
002222__em_福晶科技_em__2025_2025年年度报告.pdf,隔离器,纤激光器的主要结构包含泵浦源、增益光纤、调制器(如声光调制器AOM)、谐振腔和光隔离器。脉冲光纤激光器在精细打标、精细切割、激光打孔、激光划线、激光清洗和焊前预处理等
688498__em_源杰科技_em__2025_陕西源杰半导体科技股份有限公司2025年年度报告.pdf,光隔离器,问题，影响激光器芯片的性能。传统解决方案为在光模块中的激光器与光纤接口间额外增加光隔离器，过滤反射光并仅让正向传输的光信号通过，避免反射光对激光器芯片的影响。光隔离器的
688498__em_源杰科技_em__2025_陕西源杰半导体科技股份有限公司2025年年度报告.pdf,光隔离器,加光隔离器，过滤反射光并仅让正向传输的光信号通过，避免反射光对激光器芯片的影响。光隔离器的核心器件常采用进口的法拉第旋光片，增加了光模块的尺寸及封装厂的封装难度和成本，
688498__em_源杰科技_em__2025_陕西源杰半导体科技股份有限公司2025年年度报告.pdf,隔离器,题，影响激光器芯片的性能。传统解决方案为在光模块中的激光器与光纤接口间额外增加光隔离器，过滤反射光并仅让正向传输的光信号通过，避免反射光对激光器芯片的影响。光隔离器的
688498__em_源杰科技_em__2025_陕西源杰半导体科技股份有限公司2025年年度报告.pdf,隔离器,光隔离器，过滤反射光并仅让正向传输的光信号通过，避免反射光对激光器芯片的影响。光隔离器的核心器件常采用进口的法拉第旋光片，增加了光模块的尺寸及封装厂的封装难度和成本，
688498__em_源杰科技_em__2025_陕西源杰半导体科技股份有限公司2025年年度报告.pdf,隔离器,与开发。公司凭借该技术，成功开发出有源区出光端集成反射光损耗波导结构制作技术，将隔离器功能集成于芯片结构中，实现激光器芯片对22/239陕西源杰半导体科技股份有限公司
688498__em_源杰科技_em__2025_陕西源杰半导体科技股份有限公司2025年年度报告.pdf,TOSA,源区量子阱实现将电能转化为光能并发射激光，主要作用为将电信号转换成光信号，系组成TOSA的核心部件三五族化合物半导体材料，主要作用为将光信探测器芯片指号转换成电信号，系
688498__em_源杰科技_em__2025_陕西源杰半导体科技股份有限公司2025年年度报告.pdf,TOSA,SA的核心部件TransmitOpticalSubassembly，光发射组件，TOSA指主要将电信号转化为光信号并发射出去ReceiverOpticalSubasse
688498__em_源杰科技_em__2025_陕西源杰半导体科技股份有限公司2025年年度报告.pdf,TOSA,接收组件，ROSA指主要接收光信号并将其转化为电信号光芯片加工封装为光发射组件（TOSA）及光光模块指接收组件（ROSA），再将光收发组件、电芯片、结构件等进一步加工成
688498__em_源杰科技_em__2025_陕西源杰半导体科技股份有限公司2025年年度报告.pdf,ROSA,心部件三五族化合物半导体材料，主要作用为将光信探测器芯片指号转换成电信号，系组成ROSA的核心部件TransmitOpticalSubassembly，光发射组件，TO
688498__em_源杰科技_em__2025_陕西源杰半导体科技股份有限公司2025年年度报告.pdf,ROSA,信号并发射出去ReceiverOpticalSubassembly，光接收组件，ROSA指主要接收光信号并将其转化为电信号光芯片加工封装为光发射组件（TOSA）及光光模
688498__em_源杰科技_em__2025_陕西源杰半导体科技股份有限公司2025年年度报告.pdf,ROSA,号并将其转化为电信号光芯片加工封装为光发射组件（TOSA）及光光模块指接收组件（ROSA），再将光收发组件、电芯片、结构件等进一步加工成光模块Fabry-PerotLa
000063__em_中兴通讯_em__2025_2025年年度报告.pdf,TIA,电力、冶钢、矿山、医疗、教育等领域落地AI+标杆项目，斩获GSMAGLOMO、GTIAwards等多项荣誉。在工业领域，本集团南京滨江智能制造基地从“5G滨江”升级到
688234__em_天岳先进_em__2025_山东天岳先进科技股份有限公司2025年年度报告.pdf,TIA,"制（1）山东天岳、上海天岳均完成专利费用减缴备案，年费支出降低85%（2）""天岳TIANYUE""和""SICC""两项商标入选济南市知识产权保护中心海外商标监测名单，建立"
688052__em_纳芯微_em__2025_2025年年度报告.pdf,隔离器,品、转换器产品、接口产品等。公司信号链产品涵盖了信号链细分领域中的信号调理芯片、隔离器、接口、通用信号链、MCU等，具体如下：产品类型主要产品主要特点信号调理芯片将公
688052__em_纳芯微_em__2025_2025年年度报告.pdf,隔离器,技术利用电容内部的电场变化来实现数字信号的传输。另外，公司在标准数字隔离芯片数字隔离器、隔离接的基础上，陆续开发出了超宽体隔离器、“隔离+”产品。“隔隔离器系列口、隔
688052__em_纳芯微_em__2025_2025年年度报告.pdf,隔离器,传输。另外，公司在标准数字隔离芯片数字隔离器、隔离接的基础上，陆续开发出了超宽体隔离器、“隔离+”产品。“隔隔离器系列口、隔离电源、隔离采离+”产品集成了电源、接口等
300623__em_捷捷微电_em__2025_2025年年度报告.pdf,隔离器,"感接收芯片(简光耦指称PT)+MOS(金属-氧化物场效应晶体管)组成的复合型光电隔离器件,具有低电压-高电压隔离、信号隔离以消除初级干扰信号等优点，可以承受高达800"
300623__em_捷捷微电_em__2025_2025年年度报告.pdf,隔离器,"光电敏感接收芯片(简称PT)+MOS(金属-氧化物场效应晶体管)组成的复合型光电隔离器件,具有低电压-高电压隔离、信号隔离以消除初级干扰信号等优点，可以承受高达800"
600105__em_永鼎股份_em__2025_永鼎股份2025年年度报告.pdf,InP衬底,雷达、CPO等新兴领域扩展。当下竞争呈“高端紧缺、中低端内卷”状态：高速光芯片因InP衬底集中、海外扩产谨慎导致产能缺口加大。此背景下，国产厂商迎来关键产品验证与市场导入
600105__em_永鼎股份_em__2025_永鼎股份2025年年度报告.pdf,阵列波导光栅,据中心DWDM指密集波分复用PLM指产品生命周期管理IDM指集成器件制造AWG指阵列波导光栅DPI指深度包检测技术AGV指自动导引运输WCS指仓库控制MES指制造执行ERP
600105__em_永鼎股份_em__2025_永鼎股份2025年年度报告.pdf,阵列波导光栅,光器（CW-DFB）、电吸收调制激光器（EML）等高端有源芯片；无源光器件：涵盖阵列波导光栅（AWG）、滤波片（Filter）、MT-FA（MT光纤阵列）、MUX/DEMU
600105__em_永鼎股份_em__2025_永鼎股份2025年年度报告.pdf,AWG,互联网数据中心DWDM指密集波分复用PLM指产品生命周期管理IDM指集成器件制造AWG指阵列波导光栅DPI指深度包检测技术AGV指自动导引运输WCS指仓库控制MES指
600105__em_永鼎股份_em__2025_永鼎股份2025年年度报告.pdf,AWG,FB）、电吸收调制激光器（EML）等高端有源芯片；无源光器件：涵盖阵列波导光栅（AWG）、滤波片（Filter）、MT-FA（MT光纤阵列）、MUX/DEMUX（复用
600105__em_永鼎股份_em__2025_永鼎股份2025年年度报告.pdf,AWG,据中心及电信类高速CW、EML、DFB激光器芯片高速MUX/DEMUX无源组件（AWG和Filter全系列）13/263江苏永鼎股份有限公司2025年年度报告50G-
600105__em_永鼎股份_em__2025_永鼎股份2025年年度报告.pdf,隔离器,CWDM/CDWDM（密集波分复用/紧凑型粗波分复用/可调谐波分复用）、环形器、隔离器、Z-BLOCK（Z型滤波片组件）等数据中心光模块关键组件；混合集成方案：提供各
600105__em_永鼎股份_em__2025_永鼎股份2025年年度报告.pdf,光纤阵列,无源光器件：涵盖阵列波导光栅（AWG）、滤波片（Filter）、MT-FA（MT光纤阵列）、MUX/DEMUX（复用器/解复用器）组件，以及DWDM/CCWDM/CDW
688693__em_锴威特_em__2025_苏州锴威特半导体股份有限公司2025年年度报告.pdf,隔离器,SiCMOSFET的专用电源管理IC以及小型化的隔离电源专用芯片，广泛应用于数字隔离器、隔离接口电路、隔离驱动的供电；公司加大Buck、Boost等非隔离拓扑的研发工
002902__em_铭普光磁_em__2025_2025年年度报告.pdf,TOSA,并实现模块化和标准化。2、光通信产品主要包括：光器件、光模块。光器件系列产品包括TOSA、BOSA、TriOSA、QOSA和ComboBOSA；光模块系列产品涵盖传送网
002902__em_铭普光磁_em__2025_2025年年度报告.pdf,BOSA,化和标准化。2、光通信产品主要包括：光器件、光模块。光器件系列产品包括TOSA、BOSA、TriOSA、QOSA和ComboBOSA；光模块系列产品涵盖传送网、有线接入
002902__em_铭普光磁_em__2025_2025年年度报告.pdf,BOSA,光模块。光器件系列产品包括TOSA、BOSA、TriOSA、QOSA和ComboBOSA；光模块系列产品涵盖传送网、有线接入网、4G/5G无线网、数据中心、智算中心相关
002902__em_铭普光磁_em__2025_2025年年度报告.pdf,BOSA,带网络升级与普及。根据LightCounting数据，2025年全球接入光模块和BOSA市场出货量达到2.01亿只，销售额为13亿美元，其中FTTx光模块收入占比最大（
300489__em_光智科技_em__2025_2025年年度报告.pdf,隔离器,"胶机、药液2,785,575.22否61,477.88备有限公司柜、支撑杆等光纤隔离器、法拉第反射镜、激安徽先导先进科光切割机、激光1,288,377.35否38,4"
688259__em_创耀科技_em__2025_2025年年度报告.pdf,时钟恢复,TRIOS提供的原子化同步原语实现）。该技术涉及基于硬件的多通道CORDIC处理时钟恢复系统，可以应用于VDSL2、WiMAX等领域。该技术为接入网网络终端芯片和局端芯
688259__em_创耀科技_em__2025_2025年年度报告.pdf,时钟恢复,、WiMAX等领域。该技术为接入网网络终端芯片和局端芯片提供了高速高精度的多信道时钟恢复功能和相应的算法，进一步提升时钟信号系统恢复的精度和稳定接入网网络多信道时钟恢自
688618__em_三旺通信_em__2025_深圳市三旺通信股份有限公司2025年年度报告.pdf,采样示波器,多项国际认证资质。在检测装备方面，公司引进了13G高速数字信号示波器、33G高速采样示波器、9G矢量网络分析仪、44G频谱仪、TSN一致性测试仪、对时精度测试仪、AC/D
688689__em_银河微电_em__2025_2025年年度报告.pdf,TIA,"名称成立日期注册资本定代表人代码管理活动等情况ACTIONSTARINTERNATIAO杨森茂2004-10-1861967750,000股权投资NALLIMITED"
002579__em_中京电子_em__2025_2025年年度报告.pdf,光模块PCB,消费类电子产品等核心赛道，开展了《高电流应用超厚铜刚挠结合板技术研发》《800G光模块PCB产品开发》《100至800G交换机用PCB产品研发》《24至77G毫米波雷达用P
688048__em_长光华芯_em__2025_2025年年度报告.pdf,光隔离器,长及加工技术，向国内外客户提供高端铌酸锂、钽酸锂系列晶体，包括光调制、光纤陀螺、光隔离器、光学低通滤波片用光学级双面抛光LiNbO3晶片等；睿科晶创主要从事光学超晶格频
688048__em_长光华芯_em__2025_2025年年度报告.pdf,隔离器,及加工技术，向国内外客户提供高端铌酸锂、钽酸锂系列晶体，包括光调制、光纤陀螺、光隔离器、光学低通滤波片用光学级双面抛光LiNbO3晶片等；睿科晶创主要从事光学超晶格频
300852__em_四会富仕_em__2025_2025年年度报告.pdf,光模块PCB,品的技术研发。在2025年广东省名优高新技术产品评选中，公司研发的“1.6T高速光模块PCB基板”“新能源汽车用磁环嵌埋电感PCB基板”“高功率芯片用陶瓷PCB基板””三项
301183__em_东田微_em__2025_2025年年度报告.pdf,光隔离器,M/DWDM/LWDM等）及组件（如z-block组件）；以及应用于高速光模块的光隔离器组件等。（二）核心技术能力公司在光学设计、光学成膜、光学成型及精密加工等方面积累
301183__em_东田微_em__2025_2025年年度报告.pdf,光隔离器,学领域市场份额的同时，光通信领域战略从提供单一元器件向多元化产品矩阵拓展，已完成光隔离器、WDM滤光片及组件等多类产品的布局，旨在更好地满足客户对高速光模块上游核心元器
301183__em_东田微_em__2025_2025年年度报告.pdf,光隔离器,机市场占据主要份额。在光通信领域，公司作为光器件“新军”，凭借精准的卡位策略，在光隔离器、WDM滤光片等高端器件领域迅速跻身稀缺供应商行列。2、竞争优势：（1）工艺迁移
301183__em_东田微_em__2025_2025年年度报告.pdf,隔离器,/DWDM/LWDM等）及组件（如z-block组件）；以及应用于高速光模块的光隔离器组件等。（二）核心技术能力公司在光学设计、光学成膜、光学成型及精密加工等方面积累
301183__em_东田微_em__2025_2025年年度报告.pdf,隔离器,领域市场份额的同时，光通信领域战略从提供单一元器件向多元化产品矩阵拓展，已完成光隔离器、WDM滤光片及组件等多类产品的布局，旨在更好地满足客户对高速光模块上游核心元器
301183__em_东田微_em__2025_2025年年度报告.pdf,隔离器,市场占据主要份额。在光通信领域，公司作为光器件“新军”，凭借精准的卡位策略，在光隔离器、WDM滤光片等高端器件领域迅速跻身稀缺供应商行列。2、竞争优势：（1）工艺迁移
002185__em_华天科技_em__2025_2025年年度报告.pdf,TIA,进封装有限公司华天上海指子公司上海华天集成电路有限公司华天马来西亚指子公司HUATIANTECHNOLOGY(MALAYSIA)SDN.BHD.管理总部指子公司华天科
002185__em_华天科技_em__2025_2025年年度报告.pdf,TIA,月24日否肖智轶UNISEM（M）BERHAD董事2019年01月30日否HUATIANTECHNOLOGY(MALAYSIA)肖智轶董事2018年08月02日否SD
002185__em_华天科技_em__2025_2025年年度报告.pdf,TIA,"合计465,415,949.92411,902,564.17其他说明：按照HUATIANTECHNOLOGY(USA)LLC所在地的税法规定，纳税人纳税年度发生亏损，"
603042__em_华脉科技_em__2025_2025年年度报告.pdf,光隔离器,接器、光开关、光衰减器、光纤耦合器、波分复用器、光调光无源器件指制器、光滤波器、光隔离器、光环行器等。它们在光路中分别实现连接、能量衰减、反向隔离、分路或合路、信号调制
603042__em_华脉科技_em__2025_2025年年度报告.pdf,隔离器,器、光开关、光衰减器、光纤耦合器、波分复用器、光调光无源器件指制器、光滤波器、光隔离器、光环行器等。它们在光路中分别实现连接、能量衰减、反向隔离、分路或合路、信号调制
603042__em_华脉科技_em__2025_2025年年度报告.pdf,隔离器,或合路、信号调制、滤波等功能。微波模块中的无源器件主要有功分器，耦合器，衰减器，隔离器，滤波器、电桥、负载等，其共同的指标有插损，微波无源器件指驻波，隔离度。按功率来
603042__em_华脉科技_em__2025_2025年年度报告.pdf,隔离器,原因是多系统接入平台（POI）作为更高阶的集成系统，通常包含多个合路器、滤波器、隔离器等，用于实现多系统（如5G、4G、Wi-Fi）信号的高效共享和干扰抑制。大批量P
688167__em_炬光科技_em__2025_西安炬光科技股份有限公司2025年年度报告.pdf,AWG,度光FTTX网络中的PLC分路纤阵列定位与固定，通道V型槽阵列器、WDM系统中的AWG、间距、槽深及外形尺寸可光纤单元阵列(FAU)等多通数据中心定制道光纤连接和集成
688167__em_炬光科技_em__2025_西安炬光科技股份有限公司2025年年度报告.pdf,FAU,定，通道V型槽阵列器、WDM系统中的AWG、间距、槽深及外形尺寸可光纤单元阵列(FAU)等多通数据中心定制道光纤连接和集成确保光纤阵列的精准对准，提升多通道光纤间的耦
688167__em_炬光科技_em__2025_西安炬光科技股份有限公司2025年年度报告.pdf,FAU,拓展方向，公司的产品广泛应用于光通信模块、光子集成电路（PIC）、光纤阵列单元（FAU）、外置激光光源(ELSFP)、近封装光学器件（NPO）、共封装光学器件（CPO
688167__em_炬光科技_em__2025_西安炬光科技股份有限公司2025年年度报告.pdf,光纤阵列,距、槽深及外形尺寸可光纤单元阵列(FAU)等多通数据中心定制道光纤连接和集成确保光纤阵列的精准对准，提升多通道光纤间的耦合效率，减少光信号传输损耗单个透镜的正反两面具有
688167__em_炬光科技_em__2025_西安炬光科技股份有限公司2025年年度报告.pdf,光纤阵列,后的重点投资和拓展方向，公司的产品广泛应用于光通信模块、光子集成电路（PIC）、光纤阵列单元（FAU）、外置激光光源(ELSFP)、近封装光学器件（NPO）、共封装光学
688535__em_华海诚科_em__2025_江苏华海诚科新材料股份有限公司2025年年度报告.pdf,隔离器,装、高导热材料、IGBT/IPM模组、系统级封装、高性能叠层电容、汽车电子、高压隔离器件等产品，同时充分结合先进封装技术特征对关键的应力、吸水率、分层、翘曲控制、导热
688535__em_华海诚科_em__2025_江苏华海诚科新材料股份有限公司2025年年度报告.pdf,隔离器,子用无硫环氧塑封料方面，可以将总硫控制在50ppm以下，并获得小批量量产；在高压隔离器件方面，具有低应力和良好的BHAST性能。高导热材料方面，在3W/m.K的领域达
300570__em_太辰光_em__2025_2025年年度报告.pdf,AWG,MT插芯及保证光纤定各类非标插芯位光互联元件光无实现光功率源产PLC晶圆及芯片、AWG或光波长的品晶圆及芯片分配光互联器常规及高密度光纤连实现光互联件接器10深圳太辰
300570__em_太辰光_em__2025_2025年年度报告.pdf,AWG,标提升FA产品技术水平和CPO的产品的竞争力拓展公司用于光模块增加公司在相关领域AWG芯片和器件开发小批量试产实现规模产销的产品的竞争力800G、1.6T高速光模增强
300570__em_太辰光_em__2025_2025年年度报告.pdf,AWG,DC高密连接器、高芯数MT插芯、有源及配套产品、光纤路由柔性板在CPO中的应用、AWG产品的市场开拓等，力争实现大幅度的业务增长；国内市场方面关注数据中心的发展需求，
300570__em_太辰光_em__2025_2025年年度报告.pdf,PLC分路器,通信股份有限公司2025年年度报告全文实现光模块光模块配套产品内部连接实现光功率PLC分路器的分配光分路器件实现光波长波分复用器的管理光通信集光纤路由柔性板、光光纤布线管成
300570__em_太辰光_em__2025_2025年年度报告.pdf,陶瓷插芯,数据中心、政企专网等领域建设，主要产品及其功能如下：产品类别主要产品功能产品图片陶瓷插芯、MT插芯及保证光纤定各类非标插芯位光互联元件光无实现光功率源产PLC晶圆及芯片
300570__em_太辰光_em__2025_2025年年度报告.pdf,陶瓷插芯,基本完成产品研发产品实现批量产销块/AOC研发产品的竞争力插芯内、外径自动化提升陶瓷插芯的生产提升公司在陶瓷插芯项目已完成提升生产效率设备开发效率产品的竞争力分支套管并
300570__em_太辰光_em__2025_2025年年度报告.pdf,陶瓷插芯,批量产销块/AOC研发产品的竞争力插芯内、外径自动化提升陶瓷插芯的生产提升公司在陶瓷插芯项目已完成提升生产效率设备开发效率产品的竞争力分支套管并管自动化分支套管并管工序
300570__em_太辰光_em__2025_2025年年度报告.pdf,FAU,模产销自动化设备开发算力领域的应用拓展竞争力拓展公司用于光模块增加公司在相关领域FAU产品开发基本实现项目目标提升FA产品技术水平和CPO的产品的竞争力拓展公司用于光
