hit_id,公司,cell_id,来源,引语或线索摘要,处置,理由,会话日期
中际旭创+D2+2025年报,中际旭创,D2,扫描,(定义/非本格句),驳回-证据不足,BOM定义句,2026-07-25
优迅股份+D3+2025年报,优迅股份,D3,扫描,(定义/非本格句),驳回-证据不足,FTTR/BOSA术语定义句,2026-07-25
剑桥科技+D1+2025年报,剑桥科技,D1,扫描,(定义/非本格句),驳回-证据不足,术语表定义句,2026-07-25
剑桥科技+D2+2025年报,剑桥科技,D2,扫描,(定义/非本格句),驳回-证据不足,术语表定义句,2026-07-25
剑桥科技+D3+2025年报,剑桥科技,D3,扫描,(定义/非本格句),驳回-证据不足,"研发项目技术句,非产品销售证据",2026-07-25
天孚通信+D1+2025年报,天孚通信,D1,扫描,(定义/非本格句),驳回-证据不足,术语定义句(另走人工通道以募集书句入点),2026-07-25
天孚通信+D2+2025年报,天孚通信,D2,扫描,(定义/非本格句),驳回-证据不足,术语定义句,2026-07-25
天孚通信+D3+2025年报,天孚通信,D3,扫描,(定义/非本格句),驳回-证据不足,术语定义句,2026-07-25
中微公司+M2a+2025年报,中微公司,M2a,扫描,(定义/非本格句),驳回-证据不足,"LED术语定义,刻蚀设备商",2026-07-25
中瓷电子+M2a+2025年报,中瓷电子,M2a,扫描,(定义/非本格句),驳回-证据不足,衬底定义句,2026-07-25
中船特气+M2a+2025年报,中船特气,M2a,扫描,(定义/非本格句),驳回-证据不足,工艺定义句,2026-07-25
华灿光电+M2a+2025年报,华灿光电,M2a,扫描,(定义/非本格句),驳回-非本格,GaN-LED外延非光通信,2026-07-25
天岳先进+M2a+2025年报,天岳先进,M2a,扫描,(定义/非本格句),驳回-非本格,SiC衬底非光通信,2026-07-25
富乐德+M2a+2025年报,富乐德,M2a,扫描,(定义/非本格句),驳回-证据不足,设备清洗服务定义句,2026-07-25
富创精密+M2a+2025年报,富创精密,M2a,扫描,(定义/非本格句),驳回-证据不足,外延术语定义,2026-07-25
恒坤新材+M2a+2025年报,恒坤新材,M2a,扫描,(定义/非本格句),驳回-证据不足,衬底定义句,2026-07-25
三安光电+M2b+2025年报,三安光电,M2b,扫描,LED外延片及芯片、砷化镓,待判,"维持待判(2026-08-10问询回复已核):主业自述含砷化镓/磷化铟等新材料外延与芯片;VCSEL技术开发与应用在研(报告期投入1,604.03万元)未指明光通信;泉州光通主营光技术产品与芯片,减值预测口径称计划停产低毛利低端产品重点发展高毛利光模块产品——均为规划/研发口径,无量产自述不入点;可重启:泉州光通光模块产品量产/出货披露或VCSEL光通信应用自述｜2026-08-23批量复核:命中均为4月旧问答与已核08-10问询回复口径,VCSEL仍研发/规划,未过闸",2026-08-23
仕佳光子+M2a+2025年报,仕佳光子,M2a,扫描,综合掌握外延生长、微纳加工,已入点,"已入点:D8=P013在册(投关表2026-05-15自证1.6T AWG小批量出货,用途疑虑消解)/M2a=P094在册(存量点保留)",2026-07-30
新易盛+MOD1+人工回收,新易盛,MOD1,人工,指引第4号——创业板行业信息披露》中的“通信相关业务”的披露要求（一）主要业务、主要产品及用途目前，公司系光互联解决方案领域的全球领先企业，业务主要涵盖全系列光,已入点,P2通道:自家年报主营句,2026-07-25
中际旭创+MOD1+人工回收,中际旭创,MOD1,人工,公司主营业务为高端光通信收发模块的研发、生产及销售，产品服务于云计算数据中心、数据通信、5G无线网络、电信传输和固网接入等领,已入点,P2通道:年报主营句,2026-07-25
天孚通信+D1+人工回收,天孚通信,D1,人工,公司是全球光互连领域领先的一站式平台型技术企业,已入点,P2通道:年报主营句(光互连一站式含OSA),2026-07-25
三安光电+M2a+2025年报,三安光电,M2a,扫描,蓝、绿、青、橙、紫、白色的光。在一块加热至适当温度的衬底基片上，气态物质（In、外延片指Ga、Al、,驳回-证据不足,"术语定义句(批量启发式,抽检确认)",2026-07-25
联特科技+D2+2025年报,联特科技,D2,扫描,指TransmitterOpticalSub-Assembly的缩写，光发射组件ROSA指Recei,驳回-证据不足,"术语定义句(批量启发式,抽检确认)",2026-07-25
聚灿光电+M2a+2025年报,聚灿光电,M2a,扫描,除红色的红宝石之外，其它颜色刚玉宝石的通称，主要成分是氧化铝（Al₂O₃）LED外延生长的载体，指在,驳回-证据不足,"术语定义句(批量启发式,抽检确认)",2026-07-25
三环集团+D4+2025年报,三环集团,D4,扫描,精度、高稳定光纤对接方案的MT插芯+导针与散件组合、专为光芯片封装设计的高可靠性陶瓷管壳等新产品出现,驳回-非本格,"该公司该格已在册,重复命中",2026-07-25
东山精密+M1+2025年报,东山精密,M1,扫描,持续巩固并提升公司在全球产业链中的核心竞争力与行业地位。其中，索尔思光电拥有覆盖磷化铟衬底、外延材料,驳回-非本格,"该公司该格已在册,重复命中",2026-07-25
东田微+D6+2025年报,东田微,D6,扫描,/DWDM/LWDM等）及组件（如z-block组件）；以及应用于高速光模块的光隔离器组件等。（二）,驳回-非本格,"该公司该格已在册,重复命中",2026-07-25
仕佳光子+D8+2025年报,仕佳光子,D8,扫描,plitter）、阵列波导光栅（ArrayedWaveguideGrating，AWG）、可调光衰减,驳回-非本格,"该公司该格已在册,重复命中",2026-07-25
仕佳光子+D8+2025年报,仕佳光子,D8,扫描,底材料。基于平面光路技术解决方案的器件包括：分路器PLC指（Splitter）、阵列波导光栅（Arr,驳回-非本格,"该公司该格已在册,重复命中",2026-07-25
仕佳光子+D9+2025年报,仕佳光子,D9,扫描,的空气回流增压系统中FiberArrayUnit，光纤阵列单元是光通信领域的核心FAU指无源精密光学,驳回-证据不足,"术语定义句(批量启发式,抽检确认)",2026-07-25
长光华芯+M2b+2025年报,长光华芯,M2b,扫描,经营模式、行业情况说明(一)主要业务、主要产品或服务情况公司已建成覆盖芯片设计、外延生长、晶圆处理工,已入点,人工判定:真产品/产线句(命中格M2a改判M2b),2026-07-25
三环集团+D10+2025年报,三环集团,D10,扫描,领域客户的产品需求；受益于全球算力基础设施建设进程加快、光器件市场需求扩容，公司陶瓷插芯及配套产品销,已入点,人工判定:真产品/产线句,2026-07-25
中船特气+M3+2025年报,中船特气,M3,扫描,型。截至报告期末，公司产品由85种增加至95种，新增产品包括五氟乙烷、七氟丙烷、磷烷混气、砷烷混气等,已入点,人工判定:真产品/产线句,2026-07-25
中京电子+B1+2025年报,中京电子,B1,扫描,消费类电子产品等核心赛道，开展了《高电流应用超厚铜刚挠结合板技术研发》《800G光模块PCB产品开发,已入点,人工判定:真产品/产线句,2026-07-25
晶升股份+M2a+2025年报,晶升股份,M2a,扫描,又称Wafer、圆片、晶片，用以制造集成电路的圆形硅或化合物晶圆指晶体半导体材料外延生长工序的基片，,驳回-证据不足,"晶圆定义句,长晶设备商",2026-07-25
汇绿生态+D2+2025年报,汇绿生态,D2,扫描,路和光接口等构成，其中光器件是光模块的关键元件，包括激光器（TOSA）和探测器（ROSA），分别实现,驳回-证据不足,"定义句,已在D12",2026-07-25
源杰科技+D2+2025年报,源杰科技,D2,扫描,心部件三五族化合物半导体材料，主要作用为将光信探测器芯片指号转换成电信号，系组成ROSA的核心部件T,驳回-证据不足,"定义句,已在C1",2026-07-25
芯瑞达+M2a+2025年报,芯瑞达,M2a,扫描,液晶模组指泛应用于各类平板显示领域。LED中实现电光转化功能的核心单元，由LED外延片经特定工艺加工,驳回-非本格,LED外延定义,2026-07-25
东山精密+C5+2025年报,东山精密,C5,扫描,alSignalProcessor，数字信号处理器，对高速电信号进行均衡、纠错、时钟恢复、信号整DS,驳回-证据不足,DSP定义句,2026-07-25
中光防雷+D6+2025年报,中光防雷,D6,扫描,光防雷科技股份有限公司2025年年度报告全文12射频元器件开发2研发多款5G宽带隔离器、环行器。批量,驳回-非本格,射频隔离器非光,2026-07-25
中润光学+D8+2025年报,中润光学,D8,扫描,跨大洋的海底光缆，光信号的产生（激光器芯片）、调制（电光调制器）、复用/解复用（阵列波导光栅）、放大,驳回-证据不足,产业描述句,2026-07-25
中际旭创+C5+2025年报,中际旭创,C5,扫描,iver（驱动芯片）和TIA（Trans-ImpedanceAmplifier，跨阻放大器），并分别,驳回-非本格,"模块厂描述所用芯片,非自产",2026-07-25
仕佳光子+D6+2025年报,仕佳光子,D6,扫描,的光电子器件，如光纤连接光无源器件指器、耦合器、光开关、波分复用器、光分路器、光隔离器、光滤波器等需,驳回-证据不足,无源器件定义列举,2026-07-25
仕佳光子+D9+2025年报,仕佳光子,D9,扫描,用于通风管道或空气处理设备使用的空气回流增压系统中FiberArrayUnit，光纤阵列单元是光通信,驳回-证据不足,FAU定义句,2026-07-25
中润光学+D6+2025年报,中润光学,D6,扫描,中润光学科技股份有限公司2025年年度报告支撑高端激光应用市场拓展。本项目拟攻克隔离器、声光调制器、,待判,"激光用隔离器在研,光通信相关性待确认",2026-07-25
深南电路++kimiBOM表,深南电路,B1,线索,kimi天眼查+iFind表列为主要供应商,已入点,codex分层核锚:年报应用领域产品主张,2026-07-25
沪电股份++kimiBOM表,沪电股份,B1,线索,kimi天眼查+iFind表列为主要供应商,驳回-非本格,"驳回-非本格:产品主张端点为1.6T交换机PCB非光模块,光模块词仅T2转载;互动易三次否认关案已入勘误节",2026-07-30
徕木股份++kimiBOM表,徕木股份,B2,线索,kimi天眼查+iFind表列为主要供应商,已入点,"codex核锚:2023投资项目公告800G光模块壳体,在建",2026-07-25
中科蓝讯+C5+kimi料,中科蓝讯,C5,线索,"kimi研报md:AI光通信第二曲线,国产电芯片候选(东吴2026-07-11转述,待披露锚)",驳回-非本格,"驳回-非本格:芯光算力自述""光芯片设计""未指明电芯片(DSP/Driver/TIA/CDR/主控MCU),常指光侧芯片,不落C5;阶段仅研发设计连在建都不够;高优先跟踪,可重启:披露电芯片级产品+送样/客户验证",2026-07-30
国民技术+C5+kimi料,国民技术,C5,线索,"kimi研报md:800G/1.6T用MCU(西部证券转述,待披露锚)",已入点,已入点:P195@C5(互动易:光模块专用主控MCU客户导入验证);kimi研报线索获披露锚兑现,2026-07-30
德科立+MOD1+kimi料,德科立,MOD1,线索,"kimi研报md列为A股模块厂,在语料宇宙,可P2核锚",已入点,已入点:P109@MOD1在建在册;投关表DCI/综合产能佐证不升级状态,2026-07-30
NVIDIA战略投资Lumentum/Coherent++kimi料,NVIDIA战略投资Lumentum/Coherent,,线索,"边线索:2026-03各20亿美元(国金转述),待8-K锚,股权边层",驳回-碰撞,"非实体行(媒体监测);核实=证实(T1):Coherent 2026-03-02 8-K(sec.gov 0001193125-26-084366)NVIDIA以$256.80/股购7,788,161股普通股合$2B私募配售;Lumentum同日8-K(0001193125-26-085412)A系列优先股$695.31/股;两家FY2025 10-K均无此事=期后事件,本批10-K语料外",2026-07-30
矽电股份+EQ+互查矩阵,矽电股份,,扫描,"""矽电年报:已与晶合集成…光迅科技等建立合作关系,大陆探针台市占率第一""",已入点,"""点候选(探针台,EQ层格待定)+边候选(矽电→光迅);合作关系表述未量化,需光迅侧或量化佐证""｜2026-08-23核销:点候选已落P171@EQ7(2026-07-26招股书锚),本轮证据升级为投关表20260804(1225457716.PDF:光通信芯片测试=应用领域之一,PD/APD/VCSEL探针测试一体机/分选机/AOI目前销售,12吋硅光晶圆探针台);EQ7名称扩界含探针台/分选;边候选拆出至""矽电股份+EQ7+光迅边候选""",2026-08-23
佰维存储供应商表+B1+互查矩阵,佰维存储,B1,扫描,"""佰维年报:主要PCB供应商胜宏/欣强/中京电子;基板供应商深南电路/兴森/和美精艺""",驳回-非本格,"""需方佰维=存储,不在光模块链;但客户侧佐证中京/深南PCB与基板产能真实,备查""",2026-07-25
ST合力泰持股优迅+C5+互查矩阵,ST合力泰,C5,扫描,"""通过福建电子信息创投间接持有优迅股份(688807)1.257%""",驳回-非本格,"""股权边层线索,比例小(1.257%),股权边层开层时再判""｜2026-08-23核销(用户裁决):股权边层不开——股权=资本关系非产业功能,财务性间接持股不产生能力/供应推断;门槛=控制权或重大影响且改变能力地图,满足者走归属注记/宇宙补录通道(先例:福可喜玛/云南鑫耀/四川光恒均以注记承载)",2026-08-23
凯盛科技客户京瓷+M3+互查矩阵,凯盛科技,M3,扫描,"""凯盛年报客户名单含京瓷(句含LGD等)""",待判,"""京瓷为需方,凯盛=M3上游材料?供应内容未指明与陶瓷外壳相关,需引语细读""",2026-07-25
履历噪声类+全体+互查矩阵,董监高履历提及(约55对),,扫描,"""独立董事/曾任职类交叉提及,样例:达利凯普独董=三环独董,英集芯财务经理曾任光库""",驳回-证据不足,"""新噪声类:履历提及≠供需关系;后续矩阵扫描自动排除含独立董事/曾任/历任的命中句""",2026-07-25
中船特气杜邦管理工具+M4+互查矩阵,中船特气,M4,扫描,"""安全管控引入杜邦管理工具""",驳回-非本格,"""管理咨询工具非材料供应""",2026-07-25
生益科技M5待判+M5+专家质询,生益科技,M5,人工,"""CCL龙头但2025年报无覆铜板×光模块直接句,光模块表述均指子公司生益电子PCB业务""",已入点,"""母公司留B1;M5空格根因=词表无覆铜板类词(检索失配非产业真空),已补词 覆铜板|M5,华正/南亚本会话人工核锚入M5""｜2026-08-23核销:P170@M5生产中已在册(词表失配修复同批遗留未核销行)",2026-08-23
沪电股份自述否认+B1+kimi客户端,沪电股份,B1,人工,"""互动易三次自述:产品并非光模块/光模块并非公司PCB产品的主要细分应用领域(2024-02-01,2024-07-22,2025-02-24)""",驳回-非本格,"""公司自述否认为最强反证,关案;三锚存refs/kimi任务产出;若未来其年报出现光模块产品主张句可重开""",2026-07-25
德科立MOD2+MOD2+kimi客户端,德科立,MOD2,人工,"""2025年报:400G相干模块完成小批量试产;800G相干器件订单交付""",已入点,"""kimi取证→年报PDF下载→本地复核2句HIT→P087生产中;此前MOD1线索改归MOD2""",2026-07-25
中科蓝讯C5关案+C5+kimi客户端,中科蓝讯,C5,人工,"""业绩说明会:全资子公司芯光算力专注光芯片设计、高性能光模块研发生产销售;无DSP/Driver/TIA/CDR自述""",驳回-非本格,"""电芯片格无自述;另立芯光算力MOD层待判""",2026-07-25
芯光算力MOD待判++kimi客户端,深圳市芯光算力科技有限公司,,人工,"""中科蓝讯全资子公司,2025-11成立,专注光芯片设计+高性能光模块研发生产销售(公告PDF锚在案)""",驳回-碰撞,"实体归并:中科蓝讯(688332)全资子公司,其案已随母体ANY行驳回-证据不足(仅研发设计连在建都不够),不重复立点",2026-07-30
国民技术C5+C5+kimi客户端,国民技术,C5,人工,"""N32H493主控MCU适配800G/1.6T光模块,客户导入验证中(互动易)""",已入点,"""C5格定义放宽含主控MCU(BOM现实:模块含主控);P089在建;300077年报已补语料""",2026-07-25
新易盛C4专利+C4+kimi客户端,新易盛,C4,人工,"""发明专利公开CN121763492A波导过渡结构、硅光芯片及光模块(2026-03-31)""",待判,"""专利=设计证据非量产自述;待年报/说明会出现硅光产品主张句""｜2026-08-23批量复核:06-02投关表'硅光方案产品占比提升'系模块层口径,无自研PIC自述,同旭创案不替公司拔高;重启条件细化为'自研硅光芯片/PIC主张句'",2026-08-23
旭创C4硅光+C4+kimi客户端,中际旭创,C4,人工,"""2025年报:OFC演示基于先进硅光子技术的800G/硅光800G ZR等模块""",待判,"维持待判:投关表2026-07核查——1.6T产品含EML/硅光/DR/FR多型号=模块层硅光方案,仍无自研硅光芯片(PIC)自述;不替公司拔高",2026-07-30
旭创MOD2演示+MOD2+kimi客户端,中际旭创,MOD2,人工,"""2025年报:OFC演示400G ZR/ZR+ QSFP-DD相干及硅光800G ZR OSFP相干模块""",待判,"维持待判:投关表2026-07核查——相干仅""NPO、XPO、相干等产品持续落地""路线图口径,无量产/在建自述;待量产披露｜2026-08-23批量复核:07-28投关表仍'NPO/XPO/相干等产品持续落地'路线图口径,无量产/在建自述,未过闸",2026-08-23
中微EQ1定制开发+EQ1+kimi客户端,中微公司,EQ1,人工,"""2025年报:AsP材料专用MOCVD设备正在根据应用需求定制开发中…光电子材料外延逐步推进""",已入点,"已入点:P115@EQ1在册;投关表2026-04无III-V增量,存量点保留",2026-07-30
NVIDIA-8K锚已取得++kimi客户端,NVIDIA战略投资Lumentum/Coherent,,人工,"""8-K已锚:LITE=Series A可转优先股2876415股@695.31美元=20亿;COHR=普通股7788161股@256.80美元=20亿;sec.gov索引页与正文URL在案(2026-03-02)""",驳回-碰撞,"非实体行(媒体监测);核实=证实(T1):Coherent 2026-03-02 8-K(sec.gov 0001193125-26-084366)NVIDIA以$256.80/股购7,788,161股普通股合$2B私募配售;Lumentum同日8-K(0001193125-26-085412)A系列优先股$695.31/股;两家FY2025 10-K均无此事=期后事件,本批10-K语料外",2026-07-30
M2c无候选+M2c+codex,M2c语料内无合格候选,M2c,人工,"""仅仕佳术语表定义句;北方华创/中微为选择性外延设备应归EQ1""",驳回-证据不足,"""格保持诚实空;等锗硅外延材料商披露""",2026-07-25
EQ8无候选+EQ8+codex,EQ8语料内无合格候选,EQ8,人工,"""缝焊/储能焊命中均为器件厂自用工序(如燕东微芯片密封),非设备商自述""",驳回-证据不足,"""格保持诚实空;缝焊机/激光封焊机厂商A股缺席=国产化事实""",2026-07-25
天孚D2待判+D2+codex,天孚通信,D2,人工,"""2025年报产品表列OSA器件/光收发组件,未拆ROSA""",待判,"""旧料TOSA/ROSA/BOSA句不能由本句替代;待新披露""",2026-07-25
赛微C4待判+C4+codex,赛微电子,C4,人工,"""能够制造硅光子…等MEMS芯片(MEMS语境)""",已入点,已入点:P199@C4(2025年报:硅光子芯片代工工艺开发及产品验证;OCS/瑞典注记随点),2026-07-30
芯源微EQ5待判+EQ5+codex,芯源微,EQ5,人工,"""临时键合/解键合设备获多家大客户订单(用途Chiplet/CoWoS/HBM)""",驳回-证据不足,"驳回-证据不足:键合品类为临时键合/解键合供CoWoS/HBM/3DIC先进封装(投关表2026-06-08),非光通信场景;相邻能力观察",2026-07-30
长川EQ6待判+EQ6+codex,长川科技,EQ6,人工,"""主要销售产品含AOI光学检测设备(通用半导体)""",驳回-证据不足,"驳回-证据不足:未专指光模块/光引擎在线检测,投关表无增量",2026-07-30
中科飞测EQ6待判+EQ6+codex,中科飞测,EQ6,人工,"""光学类八大系列量产,晶圆缺陷检测批量出货""",驳回-证据不足,"驳回-证据不足:晶圆量测≠模块端AOI,投关表无增量",2026-07-30
中微EQ1续判+EQ1+codex,中微公司,EQ1,人工,"""硅锗EPI已交付量产验证;GaN MOCVD大规模量产(codex新句)""",已入点,"已入点:P115@EQ1在册;投关表2026-04无III-V增量,存量点保留",2026-07-30
P067撤格+D7+codex,长光华芯,D7,人工,"""原D7证据实为封装中使用快/慢轴准直透镜,使用≠生产""",驳回-非本格,"""P067删除,其20条边端点改挂P066(C1);D7格由腾景/福晶等持格""",2026-07-25
P054撤格+EQ3+codex,烽火通信,EQ3,人工,"""证据仅信息通信网络产品与解决方案提供商,不证生产固晶/贴片设备""",驳回-非本格,"""P054删除,E074需方转EXT(下游系统商,BOM无格)""",2026-07-25
天孚D12补强+D12+codex,天孚通信,D12,人工,"""P024现证据为OSA句,与D12光引擎/COB不完全同义""",已入点,已入点:P024@D12在册;投关表2026-07-09补强:硅光引擎平台能力自述+Q1光引擎单通道200G(EML路线)产品交付;媒体所称800G/1.6T光引擎量产超出来源口径不采,2026-07-30
猎奇边归格+EQ4+codex,苏州猎奇智能设备,EQ4,人工,"""E048/E049前五大客户表证明公司级交易,未证所售恰为耦合设备""",已入点,"已入点:P203@EQ3+P204@EQ4(创业板IPO申报稿:贴片/耦合设备配套800G/1.6T,KN001准入①)",2026-07-30
仕佳供应商边归格+D8+codex,仕佳光子,D8,人工,"""E100-E134供应商材料横跨光缆/线缆/器件业务,不能全归D8""",已入点,"已入点:D8=P013在册(投关表2026-05-15自证1.6T AWG小批量出货,用途疑虑消解)/M2a=P094在册(存量点保留)",2026-07-30
联得装备+EQ3+300545__em_联得装备_em__2025_2025年年度报告.pdf,联得装备,EQ3,扫描,"""已完成…高速共晶固晶机、软焊料固晶机…研发并形成销售订单"";""已形成以半导体固晶设备为核心的多元化产品矩阵…共晶固晶设备""",驳回-证据不足,"""按KN001成文判断法结案:确造共晶固晶机(工序对),但既无光通信应用/客户证据,也无µm级精度+光器件应用组合——记相邻能力观察,不入生产中;若日后披露光模块客户或±1~3µm级+光应用可重启""",2026-07-26
金海通+EQ3+603061__em_金海通_em__2025_2025年年度报告.pdf,金海通,EQ3,扫描,"""参股投资…猎奇智能,公司主要产品为固晶机、耦合设备、测试设备等光通信和半导体设备""",驳回-证据不足,"引语描述的是参股标的猎奇智能的产品,非金海通自产;参股≠自家能力",2026-07-26
三安光电+EQ3+600703__em_三安光电_em__2025_三安光电股份有限公司2025年,三安光电,EQ3,扫描,"供应商保证金表:""SHYANSHENG HITECH CO.,LTD 固晶机、焊线机""",驳回-非本格,"采购设备明细表,三安为买方非制造方",2026-07-26
万润科技+EQ3+002654__em_万润科技_em__2025_2025年年度报告.pdf,万润科技,EQ3,扫描,"""引入先进的贴片设备、三维自动锡膏检测设备""(存储模组产线)",驳回-非本格,"存储SMT产线采购方,且非光通信语域",2026-07-26
弘信电子+EQ3+300657__em_弘信电子_em__2025_2025年年度报告.pdf,弘信电子,EQ3,扫描,"""SMT贴片设备稳定贴片技术的研发""(FPC研发项目表)",驳回-非本格,"FPC贴片工艺研发,非贴片设备制造",2026-07-26
燕东微+EQ8+688172__em_燕东微_em__2025_2025年年度报告.pdf,燕东微,EQ8,扫描,"""通过储能焊和平行缝焊实现芯片密封,采用该技术的产品具有密封性好…""(金属外壳封装工艺技术)",驳回-非本格,"燕东微以该工艺封装自家芯片=使用方,EQ8为设备制造格(同P067长光华芯""使用透镜≠生产""判例)",2026-07-26
东山精密+EQ8+002384__em_东山精密_em__2025_2025年年度报告.pdf,东山精密,EQ8,扫描,"""QDD气密封装光模块""(研发项目表)",驳回-非本格,"气密封装的光模块是产品,非气密封装设备",2026-07-26
中瓷电子+EQ8+003031__em_中瓷电子_em__2025_2025年年度报告.pdf,中瓷电子,EQ8,扫描,"""氮化铝薄膜基板作为低成本非气密封装方案的关键封装材料""",驳回-非本格,"陶瓷基板/外壳=封装材料,非封装设备(其能力属D4格)",2026-07-26
仕佳光子+EQ8+688313__em_仕佳光子_em__2025_2025年年度报告.pdf,仕佳光子,EQ8,扫描,"""·气密封装·高带宽TO""(激光器芯片产品规格表)",驳回-非本格,"自家芯片产品的封装规格,非设备",2026-07-26
联特科技+EQ8+301205__em_联特科技_em__2025_2025年年度报告.pdf,联特科技,EQ8,扫描,"""TO-CAN指同轴气密封装后的管芯""(释义章节)",驳回-非本格,"名词解释条目,不构成能力主张",2026-07-26
聚飞光电+EQ8+300303__em_聚飞光电_em__2025_2025年年度报告.pdf,聚飞光电,EQ8,扫描,"""准气密封装技术…广泛应用于工业加热、扫地机器人、工业相机、智能门锁""",驳回-非本格,"LED封装工艺且非光通信语域,亦非设备制造",2026-07-26
中微公司+M2c+688012__em_中微公司_em__2025_2025年年度报告.pdf,中微公司,M2c,扫描,"""公司硅和锗硅外延EPI设备已顺利运付客户端进行量产验证""",驳回-非本格,"造外延设备≠做外延;已按设备能力入P115@EQ1。且其锗硅外延指CMOS先进制程源漏SiGe,非光探测器",2026-07-26
北方华创+M2c+002371__em_北方华创_em__2025_2025年年度报告.pdf,北方华创,M2c,扫描,"""减压外延设备主要用于减压选择性外延工艺""",驳回-非本格,"设备描述,非自做外延;该公司已在EQ1/EQ2",2026-07-26
聚灿光电+M2c+300708__em_聚灿光电_em__2025_2025年年度报告.pdf,聚灿光电,M2c,扫描,"""采用选择性外延与晶圆转移技术,实现高精度像素阵列制备""(MicroLED)",驳回-非本格,"AlGaInP/GaN基MicroLED选择性外延,与M2c锗/硅基选区外延材料体系不同",2026-07-26
中润光学+ANY+688307__em_中润光学_em__2025_2025年年度报告.pdf,中润光学,ANY,扫描,"""同步开发面向该领域的新产品品类,并推进高速光模块配套精密光学组件"";投资标的三石园/金鼎光学为光器件厂",驳回-证据不足,自家为开发方向性表述无量产/出货主张;参股标的能力≠自家能力(同金海通判例),2026-07-26
沃格光电+ANY+603773__em_沃格光电_em__2025_江西沃格光电集团股份有限公司2,沃格光电,ANY,扫描,"""行业内部分厂商在积极推进玻璃基在算力网络硬件基础设施的应用""(TGV玻璃基板,CPO语境)",驳回-证据不足,"全部为行业展望,连自家主张都不是;待其披露光模块基板产品/客户再启",2026-07-26
帝奥微+ANY+688381__em_帝奥微_em__2025_2025年年度报告.pdf,帝奥微,ANY,扫描,"""模拟芯片产品…主要应用于手机、电脑、汽车、服务器、光模块、智能穿戴…等领域""",驳回-证据不足,"应用领域枚举含光模块,但无光模块专用型号/客户/送样主张;对照国民技术判例(N32H493明确适配800G)不够格",2026-07-26
688205+ANY+688205_德科立_2025年年度报告.pdf,688205,ANY,扫描,德科立年报重复入库(文件名无中文名致ANY未跳过),驳回-碰撞,德科立已在册(P0xx MOD2/C6等);hid按代码解析为688205致known_companies未匹配,2026-07-26
剑桥科技+D12+603083__em_剑桥科技_em__2025_2025年年度报告.pdf,剑桥科技,D12,扫描,"""推进NPO/CPO模组和ELSFP模块关键工艺开发""",驳回-证据不足,"工艺开发阶段未至在建/量产;公司已在册MOD1,D12待其披露模组出货再启",2026-07-26
特发信息+ANY+000070__em_特发信息_em__2025_2025年年度报告.pdf,特发信息,ANY,扫描,"""主营业务为光纤、光缆的制造和销售"";光模块词全部出现于行业展望段",驳回-非本格,光纤光缆本体不在39格(D9为光纤阵列/连接器);无光模块自家能力主张,2026-07-26
水晶光电+ANY+002273__em_水晶光电_em__2025_2025年年度报告.pdf,水晶光电,ANY,扫描,"""突破高精度硅基微透镜阵列加工技术壁垒…满足800G/1.6T光模块及未来AI集群光互连需求""(研发项目表,开发中)",驳回-证据不足,"硅基微透镜阵列为研发项目""规模化生产开发中"";待量产/出货主张再启(D7候选)",2026-07-26
美迪凯+ANY+688079__em_美迪凯_em__2025_杭州美迪凯光电科技股份有限公司2,美迪凯,ANY,扫描,超声波指纹/CIS光路层/SAW滤波器批量生产,驳回-非本格,"光芯片命中为CIS/传感语义,非光通信39格业务",2026-07-26
深科达+EQ3+688328__em_深科达_em__2025_2025年年度报告.pdf,深科达,EQ3,扫描,"""半导体类设备主要包括IC器件、分立器件测试分选机、晶圆探针台、晶圆固晶机等""",驳回-证据不足,"按KN001:造固晶机但光通信/光模块全篇0命中,记相邻能力观察(同联得装备判例)",2026-07-26
盛路通信+EQ8+002446__em_盛路通信_em__2025_2025年年度报告.pdf,盛路通信,EQ8,扫描,"""微波组件的主要密封方式有钎焊密封、平行缝焊密封、激光焊接密封…公司具有成熟的激光焊接密封工艺""",驳回-非本格,"按KN003:微波组件密封工艺使用方非设备制造方,且非光通信语域;v3补录时的存疑成立",2026-07-26
思林杰+EQ8+688115__em_思林杰_em__2024_2024年年度报告.pdf,思林杰,EQ8,扫描,年报缝焊/气密/光模块全0命中(kimi线索出自收购标的公告),驳回-证据不足,年报语域无主张;待收购标的并表披露再启,2026-07-26
武汉新芯+C4+688778__em_厦钨新能_em__2025_厦门厦钨新能源材料股份有限公司,武汉新芯,C4,扫描,(勘误:此前语料为误取的厦钨新能年报),驳回-证据不足,"v3补录代码错误(688778实为厦钨新能),武汉新芯未上市(科创板IPO在审),先前""年报零命中""探的是厦钨新能年报作废;正确路径=IPO后入分母或经观察名单,kimi硅光代工线索保留",2026-07-26
烽火通信+ANY+600498__em_烽火通信_em__2024_600498_烽火通信科技股份,烽火通信,ANY,扫描,"光模块仅现于经营范围列举;800G为""布局跨代技术""表述",驳回-证据不足,经营范围列举≠业务主张;其光模块能力主体光迅科技已独立在册;2024年报(2025年报巨潮缺席),2026-07-26
天准科技+EQ6+688003__em_天准科技_em__2025_2025年年度报告.pdf,天准科技,EQ6,扫描,"AOI为3C/消费电子检测语域,光通信/光模块0命中",驳回-证据不足,"按KN001同理:AOI能力真但无光通信场景,相邻能力观察",2026-07-26
